section,sub_section,section_name,subsection_name,subsubsection_name,resource_name,link,  description,scope,,doi
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,International Neuroimaging Data-Sharing Initiative (INDI),http://fcon_1000.projects.nitrc.org/,  Contains multiple neuroimaging datasets including human and non-human primate neuroimaging data,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,NeuroImaging Tools & Resources Collaboratory (NITRC),https://www.nitrc.org/,  Neuroimaging tools and resources and data repository,General,Yes,
6,1,Research dissemination,Data sharing,Platforms: neuro-oriented,National Institute of Mental Health Data Archive (NDA),https://nda.nih.gov/,"  Infrastructure for sharing research data, tools, methods, and analyses",General,Yes,
6,1,Research dissemination,Data sharing,Platforms: generic,OSF,https://osf.io/,"  For small datasets, study-related files, supplemental information for manuscripts",General,Yes,
6,1,Research dissemination,Data sharing,Platforms: generic,zenodo,https://zenodo.org/,"  Repository for research papers, datasets, research software, reports, and other research outputs",General,Yes,
6,1,Research dissemination,Data sharing,Platforms: generic,figshare,https://figshare.com/,  Share files with any format,General,Yes,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,UK Biobank,https://www.ukbiobank.ac.uk/,  Biomedical database covering genetic and health data of half a million UK citizens,General,No,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,Human Connectome Project (HCP),https://www.humanconnectome.org/,  Datasets of the Human Connectome Project,MRI,Yes,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,Adolescent Brain Cognitive Development (ABCD),https://abcdstudy.org/,  Data from a long-term study of brain development and child health,MRI,Yes,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,StudyForrest,https://www.studyforrest.org,"  Database for fMRI scans, exetracking data and annotations of the movie Forrest Gump",MRI,Yes,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,The Open MEG Archive (OMEGA),https://www.mcgill.ca/bic/neuroinformatics/omega,  First open data repository fully dedicated to MEG,MEG,,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,Cambridge Centre for Ageing&Neuroscience (Cam-CAN),https://www.cam-can.org/,"  Epidemiological, cognitive, and neuroimaging data to to study ageing","MRI,MEG",,
6,1,Research dissemination,Data sharing,Large scale neuroimaging repositories,List of open datasets in ephys,https://github.com/openlists/ElectrophysiologyData,"  List of openly available electrophysiological data (EEG, MEG, ECoG/iEEG, and LFP) by Tom Donoghue",M/EEG,No,
6,2,Research dissemination,Methodological transparency,n/a,GIT,https://git-scm.com/about,  Version control system,General,Yes,
6,2,Research dissemination,Methodological transparency,n/a,GitHub,https://github.com/,  Development platform for code sharing,General,No,
6,2,Research dissemination,Methodological transparency,n/a,GitLab,https://gitlab.com,  DevOps platform,General,No,
6,2,Research dissemination,Methodological transparency,n/a,Bitbucket,https://bitbucket.org/product/,"  Allows planning of projects, collaboration on code",General,Yes,
6,2,Research dissemination,Methodological transparency,n/a,jupyter notebooks,https://jupyter.org/,  Web application for creating and sharing computational documents,General,No,
6,2,Research dissemination,Methodological transparency,n/a,Binder,https://binder.readthedocs.io/en/latest/,  Web application for managing digital repositories,General,No,
6,2,Research dissemination,Methodological transparency,n/a,Google Colab,https://colab.research.google.com/,  Jupyter notebook service on the cloud that requires no setup to use,General,No,
6,2,Research dissemination,Methodological transparency,n/a,DeepNote,https://docs.deepnote.com,  Real-time browser application to collaborate and share projects and jupyter notebooks,General,,
6,2,Research dissemination,Methodological transparency,n/a,Software Heritage,https://www.softwareheritage.org/,"  Collection, preservation, and sharing of all software that is publicly available in source code form",General,Yes,
6,3,Research dissemination,Derived data sharing,n/a,TemplateFlow,https://www.templateflow.org/,  Repository of neuroimaging templates accesible for humans and machines,MRI,Yes,https://doi.org/10.1101/2021.02.10.430678
6,3,Research dissemination,Derived data sharing,n/a,Neurovault,https://neurovault.org/,"  Public repository of unthresholded statistical maps, parcellations and atlases of the brain","MRI,PET",Yes,https://doi.org/10.3389/fninf.2015.00008
6,4,Research dissemination,Publication of scientific results,Reporting,COBIDAS MRI,http://www.humanbrainmapping.org/files/2016/COBIDASreport.pdf,  Best practices in data analysis and sharing,MRI,Yes,https://doi.org/10.1101/054262
6,4,Research dissemination,Publication of scientific results,Reporting,COBIDAS MEEG,https://cobidasmeeg.wordpress.com/,  Best practices in data analysis and sharing,M/EEG,Yes,https://doi.org/10.31219/osf.io/a8dhx
6,4,Research dissemination,Publication of scientific results,Reporting,eCOBIDAS,https://github.com/ohbm/cobidas,  A checklist for methods and results reporting for neuroimaging studies,General,Yes,
6,4,Research dissemination,Publication of scientific results,Reporting,Prototype checklist app for PET,https://remi-gau.github.io/cobidas-PET/#/,  Checklist for methods and results reporting for PET studies,PET,Yes,
6,4,Research dissemination,Publication of scientific results,Reporting,ARTEM-IS,https://osf.io/pvrn6/,  Agreed Reporting Template for EEG Methodology - International Standard,EEG,Yes,https://doi.org/10.17605/OSF.IO/PVRN6
6,4,Research dissemination,Publication of scientific results,Publication,bioRxiv,https://www.biorxiv.org/,  Preprint server for biology,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,medRxiv,https://www.medrxiv.org/,  Preprint server for health sciences,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,PsyArXiv,https://psyarxiv.com/,  Preprint server for psychological sciences,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,OSF preprints,https://osf.io/preprints,  Platform for preprints publication,General,No,
6,4,Research dissemination,Publication of scientific results,Publication,zenodo,https://zenodo.org/,  General purpose repository for research related digital artifacts,General,No,
6,4,Research dissemination,Publication of scientific results,Publication,Zotero,https://www.zotero.org/,"  Open reference manager to collect, organize, cite and share research",General,No,
6,4,Research dissemination,Publication of scientific results,Publication,Jupyter Books,https://jupyterbook.org,  Open project for building publication-quality books and documents from computational material,,,https://doi.org/10.5281/zenodo.4539666
6,4,Research dissemination,Publication of scientific results,Publication,Open Research Europe,https://open-research-europe.ec.europa.eu/,  Publication and open peer review for research stemming from Horizon 2020/Europe funding,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,Neurolibre,https://neurolibre.org/,  Repository of interactive neuroscience notebooks,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,CodeOcean,https://codeocean.com,  Computational workbench that allows code publication and data upload in capsules. ,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,Aperture,https://www.humanbrainmapping.org/i4a/pages/index.cfm?pageid=4100,  Interactive publication tool,General,No,
6,4,Research dissemination,Publication of scientific results,Publication,F1000Research,https://f1000research.com/,  Open research publishing platform with transparent peer review and source data openly available,General,No,
6,4,Research dissemination,Publication of scientific results,Publication,PREreview,https://prereview.org/,  Platform for crowdsourcing of preprint reviews,General,Yes,
6,4,Research dissemination,Publication of scientific results,Publication,sherpa,https://v2.sherpa.ac.uk/romeo/,  Searchable database for journals' policies,General,No,
6,5,Research dissemination,Beyond publication,n/a,The Turing way,https://the-turing-way.netlify.app/welcome,"  Open source community-driven guide to reproducible, ethical, inclusive and collaborative data science",General,Yes,https://doi.org/10.5281/zenodo.6533831
6,5,Research dissemination,Beyond publication,n/a,Brainhack,https://brainhack.org/,  Collaborative workshop for open neuroscience community including hackathons and unconferences,General,Yes,
6,5,Research dissemination,Beyond publication,n/a,neuromatch academy,https://academy.neuromatch.io/,  Traditional and emerging tools of computational neuroscience and deep learning ,General,Yes,
6,5,Research dissemination,Beyond publication,n/a,Neurohackdemy,https://neurohackademy.org/,  Summer school in neuroimaging and data science,General,Yes,
6,5,Research dissemination,Beyond publication,n/a,World Wide Neuro,https://www.world-wide.org/Neuro/,  Platform for online seminars,General,Yes,
6,5,Research dissemination,Beyond publication,n/a,OHBM Open Science Room,https://ohbm.github.io/osr2021/,  OHBM Open Science Room,General,Yes,https://doi.org/10.5281/zenodo.4663060
6,5,Research dissemination,Beyond publication,n/a,Brainhack School,https://school.brainhackmtl.org/,  4 weeks training on neuroimaging with collaborative practical sessions,General,Yes,
6,5,Research dissemination,Beyond publication,n/a,Reproducible Research,https://github.com/leipzig/awesome-reproducible-research,"  A curated list of reproducible research case studies, projects, tutorials, and media",General,No,https://doi.org/10.5281/zenodo.3564746
6,5,Research dissemination,Beyond publication,n/a,KnowledgeSpace,https://knowledge-space.org/,"  Community encyclopedia linking brain research concepts to data, models and literature",General,No,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,OHBM: Code of Conduct,https://www.humanbrainmapping.org/i4a/pages/index.cfm?pageid=3912,  The Code of Conduct of the OHBM,General,Yes,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,The Turing Way: Code of Conduct,https://the-turing-way.netlify.app/community-handbook/coc.html,  The Code of Conduct of the Turing Way,General,Yes,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,BIDS: Code of Conduct,https://github.com/bids-standard/bids-specification/blob/master/CODE_OF_CONDUCT.md,  The Code of Conduct of the BIDS,General,Yes,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,CARE Principles,https://www.gida-global.org/care,  Principles for Indigenous Data Governance,General,No,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,Black in Neuro,https://www.blackinneuro.com/,  A community built to diversify the neuroscience fields,General,No,
6,6,Research dissemination,"Towards inclusive, diverse and community driven research",n/a,Women in Neuroscience repository,https://www.winrepo.org/,  A repository of female neuroscientists to enhance invitations for talks and collaborations,General,No,
7,0,Other resources,n/a,n/a,INCF,https://www.incf.org/,  A standards organization for open and FAIR neuroscience ,General,Yes,
7,0,Other resources,n/a,n/a,OHBM,https://www.humanbrainmapping.org,  International society dedicated to using neuroimaging to discover the organization of the human brain,General,No,
7,0,Other resources,n/a,n/a,NIH Brain Initiative,https://braininitiative.nih.gov/brain-programs/informatics,  NIH large scale initiative for tools to support FAIR priniciples and reproducibility,General,No,
7,0,Other resources,n/a,n/a,NSF CRCNS,https://beta.nsf.gov/funding/opportunities/collaborative-research-computational-neuroscience-crcns,  NSF program that funds open science projects and supports transatlantic cooperations,General,No,
7,0,Other resources,n/a,n/a,Human Brain Project,https://www.humanbrainproject.eu/en/,  European intitiative to investigate the functional organization of brains,General,No,
7,0,Other resources,n/a,n/a,Chinese Open Science Network (COSN),https://open-sci.cn/,  Grass-root network for open science and reproducibility in the Chinese-speaking community,General,No,
7,0,Other resources,n/a,n/a,ReproNim,https://www.repronim.org/,"  Reproducible analyses framework (data, software, standardized description of results and workflows)",MRI,Yes,
7,0,Other resources,n/a,n/a,Framework for Open Reprod Research Training (FORRT),https://forrt.org/,  Framework for Open and Reproducible Research Training,General,No,
7,0,Other resources,n/a,n/a,The Declaration on Research Assessment (DORA),https://sfdora.org/,  Initiative to improve the ways in which researchers and the outputs of scholarly research are evaluated,General,No,
7,0,Other resources,n/a,n/a,Awesome Neuroscience,https://github.com/analyticalmonk/awesome-neuroscience,"  Curated list of awesome neuroscience libraries, software and any content related to the domain",General,No,
7,0,Other resources,n/a,n/a,RIOTS,,,,,
